teks,label_klaster,label_klaster_aktual
pandemik bayar gaji selesa relaks fikir henti henti pandemik benda henti,Kompensasi,0
gaji cepat,Kompensasi,0
pilih salah harga level tutup bawa gerbong rombong manjur pakai,Kompensasi,0
bangun pagi semangat pergi tepu rutin gain mati situ gaji timpal,Kompensasi,0
alas jahat banget arah visi jahat bungkus alas cari hasil,Hubungan,3
lompat mesti benda bagus sesuai gaji baca,Kompensasi,0
enak ajar tumbuh serve pulang gaji pikir robot,Kompensasi,0
ubah mentalitas malu telat wajib acara kantor urus pribadi debat manusia salah,Kompensasi,0
cowok umur bumn gaji pegawai pilih swasta gaji pegawai kontrak coba cpns terima kasih alas,Kompensasi,0
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar,Kompensasi,0
alas gaji bijak marah anak buah pulang tani rumah,Kompensasi,0
jamin aman terima sesuai lolos alam tinggal nyaman usaha enak,Kompensasi,0
suka duka beban kolega gampang kabur kerikil permisif cari jahat salah ambil cuti salah,Hubungan,3
alas benci pusat lingkung jahat,Hubungan,3
kadang alas lucu pengin libur tanggal merah jaman kuliah kaya logis banget,Kompensasi,0
efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas,Kompensasi,0
alas orang gaji harga harga,Kompensasi,0
usaha kaca lahir sedia ruang laktasi busui fleksibel busui perah jelek karyawan kecuali lembur,Kompensasi,0
kembang karir hasil sesuai harap faktur utama tahan perut hati otak,Aktualisasi,2
lihat jakarta gaji minat kecuali alas,Kompensasi,0
efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas,Kompensasi,0
karyawan bohong lamar arti nyaman tahan usaha usaha evaluasi sistem manajemen lihat elegan,Kompensasi,0
alas kakak biar biar cepat nikah biar kayak bawa bareng biar hidup lepas jahat,Hubungan,3
dunia orang henti alas lelah gaji henti alas,Kompensasi,0
alas motivasi rumah paksa laku jodoh gaji suka hidup sesuai nyaman gaji bonus,Kompensasi,0
alas gaji jakarta gaji,Kompensasi,0
pengin alas jarak jarak lumayan pengin rumah gaji rendah dilema,Kompensasi,0
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar,Kompensasi,0
alas salah gaji kontribusi uang keluarga alas terima sang direktur peduli keluarga peduli usaha pergi,Kompensasi,0
benci banget kantor marah akal bikin mental tahan jahat sesal banget alhamdulillah,Hubungan,3
nekad jahat teman kantor suportif budak sistem kantor hancur hasil kesel uang kantor tolong,Hubungan,3
turun gaji alas rekan lingkung jahat banget bikin betah gaji turun lingkung alhamdulillah enak,Kompensasi,0
curhat terima bidang gaji gaji ambil terima jakarta alas pengin gaji jenjang karir pengin alam,Kompensasi,0
gaji alas pengin,Kompensasi,0
alas mumpuni karier kontribusi kembang,Aktualisasi,2
teman manager pandemi tahan karyawan pikir karyawan rumah mending tutup gaji asih,Kompensasi,0
stres situ fikir duit kalis jahat stres baca seronok,Kepuasan Kerja,1
tiada gaji urus beban wang sehat rupa faktor henti,Kompensasi,0
durasi usaha alas tingkat gaji bidang,Kompensasi,0
alas urgen tawar jahat orang loyal terima usaha kutu loncat,Hubungan,3
alas klasik gaji miris kelar strata kompromi ilmu coba salah kali coba,Kompensasi,0
bayar juta begadang tidur come,Kompensasi,0
sayang mental lingkung jahat over lembur bayar urus kantor agustus januari tabung,Hubungan,3
harap coba kembang beda cari suasana tantang alam luas,Aktualisasi,2
loyalitas hasil sesuai tawar gaji bangun sulit kembang,Kompensasi,0
kadang suka kesel omong duit nyokap kena anak doang anak laki hamil alas pengin kota biar jahat hidup,Hubungan,3
cari gaji alas super valid,Kompensasi,0
ramai henti gaji harga kawan jahat beban repek kebaji abai,Kompensasi,0
kantor bikin gaji cepat strategi jangka buah utas perspektif usaha hadap,Kompensasi,0
jahat kantor,Hubungan,3
