teks,label,skor,label-aspek,skor-label-aspek
pandemik bayar gaji selesa kerja relaks fikir kerja henti kerja henti kerja pandemik benda henti kerja,Negatif,-1,Kompensasi,0
gaji cepat,Netral,0,Kompensasi,0
pilih salah harga level tutup bawa gerbong rombong manjur pakai,Negatif,-1,Kompensasi,0
bangun pagi semangat pergi kerja tepu kerja rutin gain mati situ gaji timpal,Netral,0,Kompensasi,0
alas jahat banget arah kerja visi jahat bungkus alas cari kerja hasil,Netral,0,Kompensasi,0
lompat kerja mesti benda bagus sesuai gaji baca,Netral,0,Kompensasi,0
kerja enak ajar tumbuh serve kerja pulang gaji pikir robot,Netral,0,Kompensasi,0
ubah mentalitas malu telat kerja wajib acara kantor urus pribadi debat manusia salah,Negatif,-1,Kompensasi,0
cowok umur kerja bumn kerja gaji pegawai pilih pindah kerja swasta gaji pegawai kontrak coba cpns terima kasih alas,Positif,1,Kompensasi,0
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar,Netral,0,Kompensasi,0
alas pindah kerja gaji bijak marah anak buah pulang tani rumah,Negatif,-1,Kompensasi,0
pindah kerja jamin aman terima sesuai kerja lolos alam tinggal nyaman usaha enak,Netral,0,Kompensasi,0
kerja suka duka beban kerja kolega gampang kabur kerikil permisif cari jahat salah ambil cuti salah,Negatif,-1,Kompensasi,0
alas benci pindah pusat lingkung kerja jahat,Negatif,-1,Kompensasi,0
kadang alas lucu pengin pindah kerja libur tanggal merah jaman kuliah kaya logis banget,Netral,0,Kompensasi,0
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif,1,Kompensasi,0
alas orang pindah kerja gaji harga harga,Positif,1,Kompensasi,0
usaha kaca lahir sedia ruang laktasi busui fleksibel busui perah jelek karyawan kecuali lembur,Positif,1,Kompensasi,0
kembang karir hasil sesuai harap pindah faktur utama tahan pindah perut hati otak,Positif,1,Aktualisasi,2
lihat jakarta gaji minat pindah kerja kecuali alas,Positif,1,Kompensasi,0
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif,1,Kompensasi,0
karyawan bohong lamar arti nyaman tahan usaha usaha evaluasi sistem manajemen lihat elegan,Positif,1,Kompensasi,0
alas kakak kerja biar kerja biar cepat nikah biar kayak bawa pindah bareng biar hidup lepas jahat,Negatif,-1,Kompensasi,0
dunia kerja orang henti kerja alas lelah pindah gaji henti kerja alas,Negatif,-1,Kompensasi,0
alas pindah kerja motivasi rumah paksa laku jodoh gaji suka hidup sesuai nyaman gaji bonus,Positif,1,Kompensasi,0
pindah kerja alas kerja pindah kerja gaji jakarta gaji,Negatif,-1,Kompensasi,0
pengin pindah kerja alas jarak jarak kerja lumayan pengin pindah rumah gaji rendah dilema,Negatif,-1,Kompensasi,0
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar,Netral,0,Kompensasi,0
alas salah gaji kontribusi uang keluarga alas terima sang direktur peduli keluarga peduli usaha pergi,Positif,1,Kompensasi,0
benci banget kantor marah akal bikin mental tahan jahat sesal banget alhamdulillah,Positif,1,Kompensasi,0
nekad jahat teman kantor suportif kerja budak sistem kantor hancur hasil kesel uang kantor tolong,Negatif,-1,Hubungan,3
pindah turun gaji alas pindah kerja rekan kerja lingkung jahat banget bikin betah gaji turun lingkung alhamdulillah enak,Negatif,-1,Kompensasi,0
curhat terima kerja bidang gaji gaji ambil terima jakarta alas pengin pindah gaji jenjang karir pengin alam,Netral,0,Kompensasi,0
gaji alas pengin pindah kerja,Negatif,-1,Kompensasi,0
alas mumpuni pindah kerja karier kontribusi kembang,Netral,0,Aktualisasi,2
teman manager pandemi tahan karyawan pikir karyawan rumah mending tutup gaji asih kerja,Positif,1,Kompensasi,0
stres kerja situ fikir duit kalis jahat stres baca seronok kerja,Negatif,-1,Kepuasan Kerja,1
tiada gaji urus beban kerja wang sehat rupa faktor henti,Negatif,-1,Kompensasi,0
durasi kerja usaha pindah pindah alas tingkat gaji bidang,Negatif,-1,Kompensasi,0
alas urgen tawar jahat kerja orang loyal terima usaha kutu loncat,Negatif,-1,Kompensasi,0
alas klasik pindah kerja gaji miris kelar strata kompromi ilmu coba salah kali coba,Netral,0,Kompensasi,0
kerja bayar juta begadang tidur come,Netral,0,Kompensasi,0
sayang mental lingkung jahat over lembur bayar urus kantor agustus kerja januari tabung,Netral,0,Kompensasi,0
harap coba kembang beda cari suasana tantang kerja alam luas,Netral,0,Aktualisasi,2
loyalitas hasil kerja sesuai tawar gaji bangun sulit kembang,Positif,1,Kompensasi,0
