teks	label_klaster	label_sentimen
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar	2	Positif
kembang karir hasil sesuai harap faktur utama tahan perut hati otak	2	Positif
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar	2	Positif
alas mumpuni karier kontribusi kembang	2	Netral
harap coba kembang beda cari suasana tantang alam luas	2	Positif
loyalitas hasil sesuai tawar gaji bangun sulit kembang	2	Positif
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar	2	Positif
alas gaji orang gaji kembang lingkung sesal arti	2	Positif
pikir kembang sehat pilih pilih	2	Negatif
alas henti kembang bosan cari hobi bikin kembang bikin semangat	2	Positif
kantor bagus banget enak kompak jahat gaji seret karir kembang situ alas teman enak cari kayak	2	Negatif
alas tindak laku cari alam cari peluang sesuai tuju karir ahli kembang	2	Positif
kembang karir hasil sesuai harap faktur utama tahan perut hati otak	2	Positif
bismillah coba rangkum sederhana paham merger akuisisi sektor bisnis kecuali industri malu agens kembang	2	Positif
cabut manager peka karir kembang kompensasi belit kasi ajar apresiasi mentor kultur sehat ruang inovasi	2	Negatif
harap coba kembang beda cari suasana tantang alam luas	2	Positif
usaha ganti mesin laku alas manusia tangan usaha kembang semangat panjenengan	2	Positif
pengin industri kembang coba perhati jual	2	Positif
alas lamar kembang peduli kembang lihat tenang lihat loyal pengin ganti penuh	2	Positif
dunia kembang arah revolusi industri hidup binatang libur tunjang santai minum sampanye restoran mewah	2	Positif
mentoring curhat kembang bantu	2	Positif
kantor bagus banget enak kompak jahat gaji seret karir kembang situ alas teman enak cari kayak	2	Negatif
usaha jelek bikin kembang doang proses ajeg capek jelek terima hikmah doang cari bagus	2	Positif
pegang divisi tahan cuman alas kembang ilmu karir terima jepang usaha	2	Positif
alas tindak laku cari alam cari peluang sesuai tuju karir ahli kembang	2	Positif
alas terang alternatif lingkung jahat cari lingkung dukung kembang tumbuh kembang profesional	2	Positif
alas kembang kontrak pakai bilang	2	Positif
sebel orang selesai potensi ketemu orang sikap hadap ajar kembang interpersonal	2	Positif
alas tawar gaji kultur koneksi potensi kembang potensi laku alas orang betah	2	Positif
alas lamar kembang peduli kembang lihat tenang lihat loyal pengin ganti penuh	2	Positif
putus cowok kenal kemarin hidup niat kembang alas nyata	2	Positif
karyawan habis susah beritahu alas habis bentak cari kembang	2	Positif
masuk galau tinggal anak lihat orang orang banget lihat kembang anak menang lihat moga paham alas	2	Positif
kantor bagus banget enak kompak jahat gaji seret karir kembang situ alas teman enak cari kayak	2	Negatif
tanda timbang kronis beranta lingkung rekan jahat kembang usaha jalan	2	Positif
alas terang alternatif lingkung jahat cari lingkung dukung kembang tumbuh kembang profesional	2	Positif
alas jahat milik jaga profesionalisme positif bicara kembang ajar cari tantang	2	Positif
alas terima kantor kantor telat bayar gaji kantor ganti sulit kasih alas situ kembang	2	Positif
alas tindak laku cari alam cari peluang sesuai tuju karir ahli kembang	2	Positif
kembang modal kota ambil alas visa negara	2	Negatif
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar	2	Positif
kembang karir hasil sesuai harap faktur utama tahan perut hati otak	2	Positif
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar	2	Positif
loyalitas hasil sesuai tawar gaji bangun sulit kembang	2	Positif
pikir kembang sehat pilih pilih	2	Negatif
usaha bilang cari bikin kembang buruk mending	2	Negatif
sangka lingkung jahat jatuh karya hidup puji melulu ujung sehat nyaman malas kembang mesti imbang	2	Positif
orang lihat asil lihat ruang lingkup pribadi ruang lingkup kembang bayang ruang lingkup jahat maju pikir otak selesai	2	Negatif
jahat kembang orang	2	Netral
jahat titik capek hubung kembang alias situasi sisa tuduh kali ribut sayang egois dominasi hubung putus masuk	2	Negatif
kantor jahat rupa rejeki terkadang kantor jahat kembang cocok pulang ambil gaji	2	Positif
lingkung rekan jahat dukung kembang ambil keluarga harap perfek lumayan	2	Positif
