teks	label_klaster	label_sentimen
alas jahat banget arah visi jahat bungkus alas cari hasil	3	Positif
suka duka beban kolega gampang kabur kerikil permisif cari jahat salah ambil cuti salah	3	Negatif
alas benci pusat lingkung jahat	3	Negatif
nekad jahat teman kantor suportif budak sistem kantor hancur hasil kesel uang kantor tolong	3	Negatif
kadang suka kesel omong duit nyokap kena anak doang anak laki hamil alas pengin kota biar jahat hidup	3	Negatif
jahat kantor	3	Negatif
nyata orang lingkung jahat bayang parah cerita mbak nyata	3	Negatif
telusur bayar lingkung jahat bagus paksa tahan keburu depresi anak orang	3	Negatif
september kemarin jahat kantor kantor senang banget banget banget menang	3	Positif
salah pilih cari duit nyaman cari ajar alam muda saran cari jahat	3	Negatif
nyata lingkung jahat alas beliau cocok usaha fokus studi kontrak wajar hitung	3	Positif
orang cocok nyaman jahat beda visi mudah bilang cicil kudu lunas butuh anggota keluarga semangat juang rupiah	3	Negatif
drop alas jahat jahat drop etis versi terima kasih	3	Negatif
gatal gatal cakap benda buruk pasal majikan cakap buruk pasal cakap pasal jahat jatuh cinta	3	Negatif
allah alas pengin salah pengin banget tetangga jahat moga cepat	3	Positif
sayang jahat sedih	3	Negatif
kantor kali alas kawan kantor jahat terima kantor kali mesti kaca jahat	3	Negatif
rasai orang orang betah lingkung jahat kemarin berkas berkas alas	3	Positif
alas teman jahat jahat bikin gila cari alas	3	Negatif
kali lingkung jahat surat	3	Negatif
alas biar kondisi kantor bikin jahat manusia ubah lingkung dukung kriminal timbang lihat jahat	3	Positif
arti tahan lingkung jahat faktor gaji tekan keluarga janji	3	Positif
alas jahat banget arah visi jahat bungkus alas cari hasil	3	Positif
telusur bayar lingkung jahat bagus paksa tahan keburu depresi anak orang	3	Negatif
nyata lingkung jahat alas beliau cocok usaha fokus studi kontrak wajar hitung	3	Positif
gatal gatal cakap benda buruk pasal majikan cakap buruk pasal cakap pasal jahat jatuh cinta	3	Negatif
indonesia gaji lingkung jahat sadar	3	Negatif
karakteristik loker indonesia subjektif pandang ijazah keras angkat tahan ijazah lingkung jahat tahan usaha suka orang cepat alas laku urus jual laku	3	Positif
kali sadar orang orang tolol jahat usaha alas tahan slip	3	Negatif
alas jahat lingkung jahat tinggal toleransi	3	Negatif
