teks	label_klaster	label_sentimen
benci banget kantor marah akal bikin mental tahan jahat sesal banget alhamdulillah	1	Positif
stres situ fikir duit kalis jahat stres baca seronok	1	Negatif
sayang mental lingkung jahat over lembur bayar urus kantor agustus januari tabung	1	Positif
kena henti dorang stres peras ramai benda henti	1	Negatif
putus gaji rendah ganti mental sehat tingkat stres kendali temu keluarga damping tumbuh kembang buah salah putus bijak hidup	1	Positif
stres cemas akibat tekan hidup pribadi lelah fisik mental paksa inspirasi lingkung rutinitas monoton perfeksionis alias fokus	1	Negatif
alas lingkung jahat lingkung bagus jahat bagus keteter rumah mahal over stres	1	Negatif
saran mbak terima sangon ganti usaha alam pojok paksa klarifikasi jatuh nama bikin stres niat ambil	1	Negatif
stres cemas akibat tekan hidup pribadi lelah fisik mental paksa inspirasi lingkung rutinitas monoton perfeksionis alias fokus	1	Negatif
plan mental kali jahat titik	1	Negatif
mesti sorang stres jahat gaji sikit orang	1	Negatif
tahap lampau stres mesti kadang tahan jenis paruh jalan kadang gaji bayar komitmen moga sabar rezeki milik allah	1	Positif
mama sakit salah banget kaya hambat tuju hidup mama alas beliau salah sakit akibat urus pusing stres pikir banget kaya beban orang rumah	1	Positif
benci banget kantor marah akal bikin mental tahan jahat sesal banget alhamdulillah	1	Positif
sehat mental miskin duit miskin mental	1	Negatif
mbak alam mending mundur sehat mental gaji pangkat hancur mental bikin hancur tuju gaji mental	1	Positif
sayang mental lingkung jahat over lembur bayar urus kantor agustus januari tabung	1	Positif
stres lepas tengok nyawa sikit cakap hadap hadap paksa	1	Negatif
stres situ fikir duit kalis jahat stres baca seronok	1	Negatif
alas lingkung jahat lingkung bagus jahat bagus keteter rumah mahal over stres	1	Negatif
jaman pakai alas mental adaptasi lingkung inti lingkung paham	1	Netral
kadang orang luah stres penat syukur ramai kadang luah pakai	1	Positif
kena henti dorang stres peras ramai benda henti	1	Negatif
gejolak hati pikir butuh duit tahan stres mental utama dana darurat beban keluarga cari mudah	1	Negatif
mental hadap subang jaya jalan kebun badan letih anak anak layan hara sepah depa hadap cari	1	Negatif
putus gaji rendah ganti mental sehat tingkat stres kendali temu keluarga damping tumbuh kembang buah salah putus bijak hidup	1	Positif
orang luah stres penat syukur ramai kadang kadang luah pakai	1	Positif
orang perihal teman kantor jahat tinggal nyata gampang ketemu sindir stres banget anjir stres	1	Negatif
tanda patut stres lampau mental mahal gaji keliling orang jahat kaki jilat gaji kedekut	1	Negatif
nyokap alas percaya minum tidur sakit kepala bikin stres selesai cerita	1	Negatif
pilih tahan capek muak stres beban gaji timbang semangat peluk	1	Negatif
mending mental aman cadang cari gaji mental jiwa raga tekan	1	Negatif
malas gila gila alas pakai stres	1	Negatif
hubung artikel rencana asih lindung karyawan hubung komunikasi sehat mental	1	Positif
stres situ fikir duit kalis jahat stres baca seronok	1	Negatif
bang jakarta bogor kantor kondisi jakarta bikin stres banget beda tinggal kantor kantor tinggal pengaruh	1	Positif
alas lingkung jahat lingkung bagus jahat bagus keteter rumah mahal over stres	1	Negatif
jurnal riset korelasi jarak tempuh tingkat stres pegawai hasil korelasi positif komuter rentan hadap stres psikis	1	Positif
pusat ekonomi maju ekonomi raya cemar stres jimat syarikat staff jimat	1	Negatif
transfer transfer stres	1	Negatif
stres perangai jahat salah punca henti mental ganggu	1	Negatif
stres	1	Negatif
kaji gembira stres stres ganggu	1	Negatif
putus gaji rendah ganti mental sehat tingkat stres kendali temu keluarga damping tumbuh kembang buah salah putus bijak hidup	1	Positif
orang perihal teman kantor jahat tinggal nyata gampang ketemu sindir stres banget anjir stres	1	Negatif
stres stres kuasa singkat takut pecat salah hidup stres stres banget	1	Negatif
hindar ubah hidup takut stres ubah takut hindar puas frustrasi	1	Positif
percaya percaya orang stres berat lingkung rekan jahat	1	Positif
mesti sorang stres jahat gaji sikit orang	1	Negatif
stres situ fikir duit kalis jahat stres baca seronok	1	Negatif
jaga sehat mental jahat rekan cari muka kopet auto debet gagas	1	Negatif
stres stres jahat	1	Negatif
jaman stres jahat minggu surabaya senin habis angkat koper start	1	Negatif
tengok orang ramai jahat jahat stres	1	Negatif
alas lingkung jahat lingkung bagus jahat bagus keteter rumah mahal over stres	1	Negatif
urus mental sikit penat hadap orang jahat	1	Negatif
orang mental anak jahat anugerah orang	1	Negatif
stres galas perangai setan orang henti rana stres orang jahat situ	1	Negatif
jahat penat mental tanda jahat	1	Negatif
jahat mental tahan gaji orang	1	Negatif
benda kali peras peras asyik stres letih benda marah	1	Negatif
mental kondisi jahat sesuai desk hancur orang keluarga orang posisi waras mental hidup keras tuhan	1	Positif
kayak paruh stres menang sedih sakit stres skripsi putus cinta operasi usus buntu tinggal nenek tinggal stres jahat	1	Negatif
bingung standar jahat orang saran maksud mental pasuk lembur biar sangon	1	Negatif
mental rusak banget jahat	1	Positif
level staff pergi toilet kena lepas tender mental jahat	1	Negatif
orang letih sedih stres jahat cari marah cakap	1	Negatif
stres perangai jahat salah punca henti mental ganggu	1	Negatif
orang tukar stres jahat patut seronok tahi tuduh	1	Negatif
definisi stres toksik laku usia tekan henti sokong patut jaga intervensi lang alam dewasa	1	Positif
orang stres rana tugas galas rana perangai setan orang orang henti stres orang keliling jahat	1	Negatif
orang perihal teman kantor jahat tinggal nyata gampang ketemu sindir stres banget anjir stres	1	Negatif
