teks	label_klaster	label_sentimen
pandemik bayar gaji selesa relaks fikir henti henti pandemik benda henti	0	Negatif
gaji cepat	0	Positif
pilih salah harga level tutup bawa gerbong rombong manjur pakai	0	Negatif
bangun pagi semangat pergi tepu rutin gain mati situ gaji timpal	0	Positif
lompat mesti benda bagus sesuai gaji baca	0	Positif
enak ajar tumbuh serve pulang gaji pikir robot	0	Positif
ubah mentalitas malu telat wajib acara kantor urus pribadi debat manusia salah	0	Negatif
cowok umur bumn gaji pegawai pilih swasta gaji pegawai kontrak coba cpns terima kasih alas	0	Positif
alas gaji bijak marah anak buah pulang tani rumah	0	Positif
jamin aman terima sesuai lolos alam tinggal nyaman usaha enak	0	Positif
kadang alas lucu pengin libur tanggal merah jaman kuliah kaya logis banget	0	Positif
efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas	0	Positif
alas orang gaji harga harga	0	Positif
usaha kaca lahir sedia ruang laktasi busui fleksibel busui perah jelek karyawan kecuali lembur	0	Positif
lihat jakarta gaji minat kecuali alas	0	Positif
efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas	0	Positif
karyawan bohong lamar arti nyaman tahan usaha usaha evaluasi sistem manajemen lihat elegan	0	Positif
alas kakak biar biar cepat nikah biar kayak bawa bareng biar hidup lepas jahat	0	Negatif
dunia orang henti alas lelah gaji henti alas	0	Negatif
alas motivasi rumah paksa laku jodoh gaji suka hidup sesuai nyaman gaji bonus	0	Positif
alas gaji jakarta gaji	0	Positif
pengin alas jarak jarak lumayan pengin rumah gaji rendah dilema	0	Positif
alas salah gaji kontribusi uang keluarga alas terima sang direktur peduli keluarga peduli usaha pergi	0	Positif
turun gaji alas rekan lingkung jahat banget bikin betah gaji turun lingkung alhamdulillah enak	0	Positif
curhat terima bidang gaji gaji ambil terima jakarta alas pengin gaji jenjang karir pengin alam	0	Positif
gaji alas pengin	0	Positif
teman manager pandemi tahan karyawan pikir karyawan rumah mending tutup gaji asih	0	Positif
tiada gaji urus beban wang sehat rupa faktor henti	0	Negatif
durasi usaha alas tingkat gaji bidang	0	Positif
alas urgen tawar jahat orang loyal terima usaha kutu loncat	0	Negatif
alas klasik gaji miris kelar strata kompromi ilmu coba salah kali coba	0	Positif
bayar juta begadang tidur come	0	Positif
cari gaji alas super valid	0	Negatif
ramai henti gaji harga kawan jahat beban repek kebaji abai	0	Negatif
kantor bikin gaji cepat strategi jangka buah utas perspektif usaha hadap	0	Positif
kantor lembur bayar pulang malam buah budaya haram hukum pulang pabrik pulang karyawan pulang ganti	0	Positif
