teks-kmeans,label,label-klaster,label-aspek,skor-label-aspek-aktual
pandemik bayar gaji selesa relaks fikir henti henti pandemik benda henti,Negatif,0,Kompensasi,0
gaji cepat,Netral,0,Kompensasi,0
pilih salah harga level tutup bawa gerbong rombong manjur pakai,Negatif,0,Kompensasi,0
bangun pagi semangat pergi tepu rutin gain mati situ gaji timpal,Netral,0,Kompensasi,0
alas jahat banget arah visi jahat bungkus alas cari hasil,Netral,3,Kompensasi,0
lompat mesti benda bagus sesuai gaji baca,Netral,0,Kompensasi,0
enak ajar tumbuh serve pulang gaji pikir robot,Netral,0,Kompensasi,0
ubah mentalitas malu telat wajib acara kantor urus pribadi debat manusia salah,Negatif,0,Kompensasi,0
cowok umur bumn gaji pegawai pilih swasta gaji pegawai kontrak coba cpns terima kasih alas,Positif,0,Kompensasi,0
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar,Netral,2,Kompensasi,0
alas gaji bijak marah anak buah pulang tani rumah,Negatif,0,Kompensasi,0
jamin aman terima sesuai lolos alam tinggal nyaman usaha enak,Netral,0,Kompensasi,0
suka duka beban kolega gampang kabur kerikil permisif cari jahat salah ambil cuti salah,Negatif,3,Kompensasi,0
alas benci pusat lingkung jahat,Negatif,3,Kompensasi,0
kadang alas lucu pengin libur tanggal merah jaman kuliah kaya logis banget,Netral,0,Kompensasi,0
efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas,Positif,0,Kompensasi,0
alas orang gaji harga harga,Negatif,0,Kompensasi,0
usaha kaca lahir sedia ruang laktasi busui fleksibel busui perah jelek karyawan kecuali lembur,Positif,0,Kompensasi,0
kembang karir hasil sesuai harap faktur utama tahan perut hati otak,Positif,2,Aktualisasi,2
lihat jakarta gaji minat kecuali alas,Positif,0,Kompensasi,0
efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas,Positif,0,Kompensasi,0
karyawan bohong lamar arti nyaman tahan usaha usaha evaluasi sistem manajemen lihat elegan,Positif,0,Kompensasi,0
alas kakak biar biar cepat nikah biar kayak bawa bareng biar hidup lepas jahat,Negatif,0,Kompensasi,0
dunia orang henti alas lelah gaji henti alas,Negatif,0,Kompensasi,0
alas motivasi rumah paksa laku jodoh gaji suka hidup sesuai nyaman gaji bonus,Negatif,0,Kompensasi,0
alas gaji jakarta gaji,Negatif,0,Kompensasi,0
pengin alas jarak jarak lumayan pengin rumah gaji rendah dilema,Negatif,0,Kompensasi,0
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar,Netral,2,Kompensasi,0
alas salah gaji kontribusi uang keluarga alas terima sang direktur peduli keluarga peduli usaha pergi,Positif,0,Kompensasi,0
benci banget kantor marah akal bikin mental tahan jahat sesal banget alhamdulillah,Positif,1,Kompensasi,0
nekad jahat teman kantor suportif budak sistem kantor hancur hasil kesel uang kantor tolong,Negatif,3,Hubungan,3
turun gaji alas rekan lingkung jahat banget bikin betah gaji turun lingkung alhamdulillah enak,Negatif,0,Kompensasi,0
curhat terima bidang gaji gaji ambil terima jakarta alas pengin gaji jenjang karir pengin alam,Negatif,0,Kompensasi,0
gaji alas pengin,Negatif,0,Kompensasi,0
alas mumpuni karier kontribusi kembang,Netral,2,Aktualisasi,2
teman manager pandemi tahan karyawan pikir karyawan rumah mending tutup gaji asih,Positif,0,Kompensasi,0
stres situ fikir duit kalis jahat stres baca seronok,Negatif,1,Kepuasan Kerja,1
tiada gaji urus beban wang sehat rupa faktor henti,Negatif,0,Kompensasi,0
durasi usaha alas tingkat gaji bidang,Negatif,0,Kompensasi,0
alas urgen tawar jahat orang loyal terima usaha kutu loncat,Negatif,0,Kompensasi,0
alas klasik gaji miris kelar strata kompromi ilmu coba salah kali coba,Negatif,0,Kompensasi,0
bayar juta begadang tidur come,Netral,0,Kompensasi,0
sayang mental lingkung jahat over lembur bayar urus kantor agustus januari tabung,Netral,1,Kompensasi,0
harap coba kembang beda cari suasana tantang alam luas,Netral,2,Aktualisasi,2
loyalitas hasil sesuai tawar gaji bangun sulit kembang,Positif,2,Kompensasi,0
kadang suka kesel omong duit nyokap kena anak doang anak laki hamil alas pengin kota biar jahat hidup,Negatif,3,Kompensasi,0
cari gaji alas super valid,Negatif,0,Kompensasi,0
ramai henti gaji harga kawan jahat beban repek kebaji abai,Negatif,0,Kompensasi,0
kantor bikin gaji cepat strategi jangka buah utas perspektif usaha hadap,Positif,0,Kompensasi,0
jahat kantor,Negatif,3,Kompensasi,0
nyata orang lingkung jahat bayang parah cerita mbak nyata,Negatif,3,Kompensasi,0
kantor lembur bayar pulang malam buah budaya haram hukum pulang pabrik pulang karyawan pulang ganti,Netral,0,Kompensasi,0
lompat lompat relatif stabil cetak badai reda asik goreng gaji kena,Negatif,0,Kompensasi,0
teman rsud jawa jawa alas gaji sesuai beban sulit dokter dikit perata dokter problem,Negatif,0,Kompensasi,0
barusan teman cerita usaha jepang jaman kali alas loyal kutu loncat problem,Negatif,0,Hubungan,3
alas pengin kasih orang suruh orang selesai masuk gaji,Negatif,0,Kompensasi,0
ramai henti gaji harga kawan jahat beban,Negatif,0,Kompensasi,0
dunia kantor salah pecat hilang gaji hilang nyawa tugas gaji enak,Negatif,0,Kompensasi,0
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar,Netral,2,Kompensasi,0
alas gaji orang gaji kembang lingkung sesal arti,Negatif,2,Kompensasi,0
undang sabtu kondisi alas alas gaji,Netral,0,Kompensasi,0
telusur bayar lingkung jahat bagus paksa tahan keburu depresi anak orang,Negatif,3,Kompensasi,0
tingkat iring harap syarikat sistem gaji sesuai gaji,Positif,0,Kompensasi,0
kena henti dorang stres peras ramai benda henti,Negatif,1,Kepuasan Kerja,1
alas negara rana ambil ilmu alam salur malaysia kejar gaji kejar faedah gaya hidup,Negatif,0,Kompensasi,0
tingkat iring harap syarikat sistem gaji sesuai gaji,Positif,0,Kompensasi,0
tips salah jenis pilih kasih salah bosan salah gaji kena potong lepas,Negatif,0,Kompensasi,0
acapkali arah tulis surat utara alami ketidakpuasan hati hadap skop jadual bayar gaji janji turun pangkat,Negatif,0,Kompensasi,0
pikir kembang sehat pilih pilih,Negatif,2,Aktualisasi,2
omong mama alas gaji emak auto ceramah takut enak lupa jodoh,Negatif,0,Kompensasi,0
september kemarin jahat kantor kantor senang banget banget banget menang,Positif,3,Kompensasi,0
alas leluasa perintah agama gaji ubah,Negatif,0,Kompensasi,0
usaha minimal putus bilang kutu loncat alas jenjang karir fasilitas tara cari gaji,Negatif,0,Kompensasi,0
cerita orang pimpin cewek gaji digit kadang tembus uang bank alas masuk bank pakai gaji habis pegang suami info suami,Negatif,0,Kompensasi,0
pikir kayak orang wajar cari gaji bagus cari lingkung bagus alas orang malu pikir cetek,Negatif,0,Kompensasi,0
alas gaji,Negatif,0,Kompensasi,0
lupa alas alas gaji hapal,Negatif,0,Kompensasi,0
undang sabtu kondisi alas alas gaji,Netral,0,Kompensasi,0
tawar sekolah posisi terima ajar sekolah kontrak kayak gaji pengin alas kepsek logis,Negatif,0,Kompensasi,0
alas bilang sesuai nyata utama kadang pagi malam pulang gila anak,Negatif,0,Kompensasi,0
salah pilih cari duit nyaman cari ajar alam muda saran cari jahat,Negatif,3,Kompensasi,0
salah alas utama orang kena gaji jenjang karir lingkung omong lingkung jelek bilang gaji jenjang karir usaha janji,Negatif,0,Kompensasi,0
wacana buah bibir sorot kerap pergok contoh,Negatif,0,Kompensasi,0
manfaat kondisi level karir usaha valid,Negatif,0,Kompensasi,0
tingkat iring harap syarikat sistem gaji sesuai gaji,Positif,0,Kompensasi,0
tingkat iring harap syarikat sistem gaji sesuai gaji,Positif,0,Kompensasi,0
kena tukar gaji kena lihat faktor peluang staf staf cuti kena angkut isteri angkut senarai,Negatif,0,Kompensasi,0
rumah cuti masuk staff jahat gaji komitmen takat,Negatif,0,Kompensasi,0
bikin rekening bohong alas gaji dikit kemarin,Negatif,0,Kompensasi,0
cewek pulang sore galak main sabtu masuk tanggal merah masuk jarak rumah kantor takut tanggap,Negatif,0,Kompensasi,0
lompat kenal kawan sorang lompat tukar tukar baju gaji,Netral,0,Kompensasi,0
laksana patut kuat kuasa september tangguh cuti salin cuti minggu lepas raja putus pinda akta tangguh januari,Netral,0,Kompensasi,0
putus gaji rendah ganti mental sehat tingkat stres kendali temu keluarga damping tumbuh kembang buah salah putus bijak hidup,Netral,1,Kompensasi,0
staff bilang hati makan usaha coba cari susah jaman kayak dasar syukur entar,Negatif,0,Kompensasi,0
nyata lingkung jahat alas beliau cocok usaha fokus studi kontrak wajar hitung,Positif,3,Kompensasi,0
jawat awam putus henti nasihat henti alas sayang jamin takut niaga,Negatif,0,Kompensasi,0
henti cikgu posting jalan kereta jalan laut sekolah cantik budaya santai,Negatif,0,Kompensasi,0
orang cocok nyaman jahat beda visi mudah bilang cicil kudu lunas butuh anggota keluarga semangat juang rupiah,Negatif,3,Kompensasi,0
drop alas jahat jahat drop etis versi terima kasih,Negatif,3,Kompensasi,0
ramai cakap zone gain basic bosan contoh pasal gaji pasal suka takut,Negatif,0,Kompensasi,0
gatal gatal cakap benda buruk pasal majikan cakap buruk pasal cakap pasal jahat jatuh cinta,Negatif,3,Kompensasi,0
gaji turun ribu alas betah,Negatif,0,Kompensasi,0
cewek gaji gaji turun persen alas putus,Negatif,0,Kompensasi,0
rekan gaji digit digit jabat rendah kontrak alas start stabil,Negatif,0,Kompensasi,0
terima kasih tawar salah alas minimal gaji tawar buka diskus moga timbang terima kasih,Negatif,0,Kompensasi,0
allah alas pengin salah pengin banget tetangga jahat moga cepat,Netral,3,Kompensasi,0
pengin alas gaji cuman lepas lingkung pikir,Negatif,0,Kompensasi,0
teman kantor utama cewek coba salah sender sender suka sebentar tinggal uang asuransi jamin cela,Negatif,0,Hubungan,3
wajib alas gaji spekulasi jamin nyaman mending,Negatif,0,Kompensasi,0
bangun kantor masuk bangun keburu sarap kantor salah alas masuk posisi eksklusif,Negatif,0,Kompensasi,0
pengin alas kuat gaji jemput susah motor gampang susah gaji susah,Negatif,0,Kompensasi,0
karyawan pola pikir maaf rumah kapai daftar rumah kemarin terima gaji,Positif,0,Kompensasi,0
halo sender kantor alhamdulillah langsung gaji kantor menang hasil,Positif,0,Kompensasi,0
alas alas jahat rangkap,Negatif,0,Kompensasi,0
coba minimarket bang warnet kafe toko baju toko daging motel libur cuman tidur alas uang,Negatif,0,Kompensasi,0
guru gaji administrasi murid nakal wali murid rekan guru jahat,Positif,0,Kompensasi,0
korban gaji juta paksa hidup gaji juta paksa cari laki suruh gaji,Negatif,0,Kompensasi,0
paksa modern bebas undur tunggu anggap tahan usaha wajib asih makan siang lembur minggu kasih kompensasi libur atur negeri manusiawi banding atur,Negatif,0,Kompensasi,0
cewek gaji aneh usaha salah over kasih gaji biar pikir capek ajar,Negatif,0,Kompensasi,0
cewek gaji putus libur gaji juta jujur badan toleransi,Positif,0,Kompensasi,0
sayang jahat sedih,Negatif,3,Kompensasi,0
alas henti kembang bosan cari hobi bikin kembang bikin semangat,Negatif,2,Aktualisasi,2
kantor bagus banget enak kompak jahat gaji seret karir kembang situ alas teman enak cari kayak,Negatif,2,Kompensasi,0
banget teman pilih dagang cilok alas bilang fleksibel mudah ibadah hasil gaji dagang,Positif,0,Kompensasi,0
kemarin pusing pikir salah alas tolak tawar gaji,Negatif,0,Kompensasi,0
mama menang kangen adik bungsu qatar lulus bandung orang kasihan capek pulang tarik nafas gaji,Negatif,0,Kompensasi,0
alas bikin gaji jahat sesuai minat bahas versi hasil riset,Positif,0,Kompensasi,0
wajar tukar gaji loyal gaji tengok contoh situasi,Negatif,0,Kompensasi,0
sorang adik komen nama hakim nama bang malas pergi esok kali tengok muka suka harga awak gaji,Negatif,0,Kompensasi,0
salah ajar perkara gaji jahat peluang pangkat tukar,Negatif,0,Kompensasi,0
kadang timbang orang rela gaji faktor jarak keluarga tinggal anak lingkung,Negatif,0,Kompensasi,0
omong gaji orang ambis tarik bahas gaji alas gaji coba usaha,Negatif,0,Kompensasi,0
utama masuk gaji pakai orang indonesia indonesia gaji habis hidup,Negatif,0,Kompensasi,0
kantor kali alas kawan kantor jahat terima kantor kali mesti kaca jahat,Negatif,3,Kompensasi,0
ganti beda situ upah lembur gaji bpjs parkir bayar jarak tempuh ijin tunjang cair,Netral,0,Kompensasi,0
ramai gaji harga kawan jahat susah situ repek kebaji abai jaga anak jaga sehat,Negatif,0,Kompensasi,0
alas obat bilang mantan rekan teman bilang mbak sepatu mall beliau manager region jateng mall,Negatif,0,Hubungan,3
tolong resmi bank swasta lolos gaji moga putus karir riba,Netral,0,Kompensasi,0
slogan sekolah kampung uang saku sekolah ajar riset tinggal sintas perempuan minggu lihat tangis sintas tahan dinamika henti salah,Negatif,0,Kompensasi,0
rumah kantor rekan ajar jalan doang tahan minggu habis alas niat susah,Negatif,0,Hubungan,3
pulang malam subuh emak kasih alas cuman rumah rumah potensi malam,Negatif,0,Kompensasi,0
rasai orang orang betah lingkung jahat kemarin berkas berkas alas,Negatif,3,Kompensasi,0
suruh pulang selesai kantor tutup artikel alas,Negatif,0,Kompensasi,0
terima langsung suruh banget tunggu proses banget allah nama alas gaji habis catat nomor,Positif,0,Kompensasi,0
salah ajar perkara gaji jahat peluang pangkat tukar,Negatif,0,Kompensasi,0
alas hutan belantara produk nama nipis madu gaji kota,Negatif,0,Kompensasi,0
alas tindak laku cari alam cari peluang sesuai tuju karir ahli kembang,Netral,2,Aktualisasi,2
gaji lipat sesuai usaha jenjang karir jakarta transportasi ongkos jahat rekan kayak doang,Negatif,0,Kompensasi,0
alas cari gaji nafkah,Negatif,0,Kompensasi,0
alas alas percaya alas melulu gaji alas,Negatif,0,Kompensasi,0
jakarta gaji tawar mutasi ponorogo gaji jakarta ponorogo murah ambil,Negatif,0,Kompensasi,0
alas teman jahat jahat bikin gila cari alas,Negatif,3,Hubungan,3
kayak rame generalisasi baca sisi positif kutu loncat posisi gaji,Negatif,0,Kompensasi,0
rekan usaha alas posisi situ,Negatif,0,Hubungan,3
stres cemas akibat tekan hidup pribadi lelah fisik mental paksa inspirasi lingkung rutinitas monoton perfeksionis alias fokus,Negatif,1,Kepuasan Kerja,1
undang jujur tolong kasih referensi alas over,Negatif,0,Kompensasi,0
alas kantor jahat kantor gaji sesal terima kasih,Negatif,0,Kompensasi,0
paksa masuk pagi pulang malam buta hukum telat balas pesan menit paksa lepas alat kena sakit paksa tidur kaki tangan hilang,Negatif,0,Kompensasi,0
rela alas usaha banget rumah gaji ongkos transpor rupiah sesal enak,Positif,0,Kompensasi,0
putus lingkung nyaman jenjang karir gaji jenuh banget kayak karyawan nyokap tuju takut,Positif,0,Kompensasi,0
dunia dunia atur urus tinggal ijin omong sakit lampir surat ijin orang asih gaji,Negatif,0,Kompensasi,0
alas cuman gaji,Negatif,0,Kompensasi,0
entar ketemu teman gaji pikir saran syukur alas gaji teman dewasa,Negatif,0,Kompensasi,0
teman gede gaji susah hidup kapai susah alas orang biar gaji rendah,Negatif,0,Kompensasi,0
teman henti alas guru senior murid bandel banget sekolah negeri buah kota beban sesuai gaji,Positif,0,Kompensasi,0
kali lingkung jahat surat,Negatif,3,Kompensasi,0
alas biar kondisi kantor bikin jahat manusia ubah lingkung dukung kriminal timbang lihat jahat,Positif,3,Hubungan,3
lihat pilih gaji opsi lingkung nyaman jarak pilih milik timbang kena,Negatif,0,Kompensasi,0
arti tahan lingkung jahat faktor gaji tekan keluarga janji,Negatif,3,Kompensasi,0
jamin aman terima sesuai lolos alam tinggal nyaman usaha enak,Netral,0,Kompensasi,0
